COUNTRY,YEAR_x,GDP,GDP_PER_CAP,Q_OF_LIFE,TAX,PRICE_TO_INCOME_RATIO,POLLUTION,CRIME,Healthy life expectancy,Freedom to make life choices,Generosity
Argentina,2017,643629000000.0,14613.0,"139,6",progressive,"12,1","53,3","62,6",0.695137083530426,0.494519203901291,0.109457060694695
Australia,2017,1326880000000.0,53934.0,"176,5",progressive,"9,2","24,6","42,4",0.84388679265976,0.601607382297516,0.477699249982834
Austria,2017,417261000000.0,47429.0,"190,4",progressive,"9,7","21,9","19,2",0.815328419208527,0.567766189575195,0.316472321748734
Belarus,2017,54726595249.0,5786.0,"119,2",proportional,"18,7","39,6","22,3",0.637714266777039,0.295400261878967,0.15513750910759
Belgium,2017,502765000000.0,44198.0,"160,5",progressive,7,"48,9","44,5",0.818091869354248,0.539770722389221,0.231503337621689
Bosnia,2017,18079076427.0,5394.0,"139,1",proportional,"11,3","60,7",41,0.705186307430267,0.204403176903725,0.328867495059967
Brazil,2017,2063510000000.0,9929.0,"96,2",progressive,17,"61,2","70,6",0.616552352905273,0.437453746795654,0.16234989464283
Bulgaria,2017,59199447421.0,8366.0,"138,2",proportional,"9,1","63,1","40,2",0.708217680454254,0.289231717586517,0.113177694380283
Canada,2017,1649270000000.0,45129.0,"167,2",progressive,"6,4","26,5","39,2",0.83455765247345,0.611100912094116,0.435539722442627
Chile,2017,276365000000.0,14963.0,"136,2",progressive,"10,7","67,7","47,5",0.819479703903198,0.376895278692245,0.326662421226501
China,2017,12310400000000.0,8817.0,91,progressive,"23,3",89,"33,9",0.943062424659729,0.490968644618988,0.374465793371201
China,2017,12310400000000.0,8817.0,91,progressive,"23,3",89,"33,9",0.741415500640869,0.472787708044052,0.0288068410009146
Croatia,2017,56214427431.0,13629.0,"170,6",progressive,"10,9","33,3","27,8",0.701288521289825,0.255772292613983,0.248002976179123
Cyprus,2017,22870833710.0,26609.0,"166,6",progressive,"5,2","54,8","32,5",0.84471470117569,0.355111539363861,0.271254301071167
Czech Republic,2017,218629000000.0,20636.0,"165,4",proportional,"10,7",41,"30,2",0.754444003105164,0.490946173667908,0.0881067588925362
Denmark,2017,332121000000.0,57610.0,"184,9",progressive,"8,2",26,"21,1",0.792565524578094,0.626006722450256,0.355280488729477
Egypt,2017,235734000000.0,2444.0,"91,8",progressive,"10,7","88,9","52,9",0.520187258720398,0.282110154628754,0.128631442785263
Estonia,2017,26924385103.0,20438.0,"171,1",proportional,"10,5","17,7",23,0.695168316364288,0.479131430387497,0.0988908112049103
Finland,2017,255648000000.0,46412.0,"182,9",progressive,"7,6","13,4","24,6",0.80915766954422,0.617950856685638,0.24548277258873
France,2017,2595150000000.0,38781.0,"160,3",progressive,"11,6","40,2","43,7",0.844465851783752,0.470222115516663,0.129762306809425
Germany,2017,3690850000000.0,44653.0,"189,7",progressive,"7,5","27,1",32,0.798950731754303,0.562511384487152,0.336269170045853
Greece,2017,199844000000.0,18582.0,"148,3",progressive,"8,3",52,"40,3",0.810198903083801,0.0957312509417534,0.0
Hong Kong,2017,341273000000.0,46160.0,"94,5",proportional,"36,1","69,9","20,7",,,
Hungary,2017,143136000000.0,14624.0,"138,8",progressive,"11,2",44,"38,4",0.687763452529907,0.175863519310951,0.0784016624093056
India,2017,2651470000000.0,1981.0,"101,5",progressive,"10,3","76,5",44,0.455427616834641,0.469987004995346,0.231538489460945
Indonesia,2017,1015620000000.0,3838.0,62,progressive,21,"76,4","49,7",0.492345720529556,0.443323463201523,0.611704587936401
Iran,2017,486630000000.0,6032.0,"97,2",proportional,"13,5","82,5","50,9",0.639333188533783,0.249322608113289,0.387242913246155
Ireland,2017,335431000000.0,69774.0,"166,9",progressive,7,"27,2","45,8",0.80978262424469,0.573110342025757,0.42785832285881
Israel,2017,355277000000.0,40774.0,"157,9",progressive,"10,9","61,7",29,0.83840399980545,0.405988603830338,0.330082654953003
Italy,2017,1961800000000.0,32407.0,"142,5",progressive,"12,4","61,7","44,7",0.853144347667694,0.256450712680817,0.17278964817524
